product_class,product_name,manufacturer,report_date,gwp_total_kg_co2e
Desktop,24-inch iMac,Apple,20-Apr-21,481
Desktop,Apple TV 4K 32GB with Siri Remote (2nd generation),Apple,20-Apr-21,59
Desktop,the 27-inch iMac with Retina 5K display with 3,Apple,4-Aug-20,824
Desktop,Mac Pro 3,Apple,10-Dec-19,765
Desktop,iMac Pro,Apple,14-Dec-17,468
Desktop,Mac mini with M2 with 256GB,Apple,17-Jan-23,112
Desktop,Mac mini,Apple,20-Jul-11,280
Desktop,Mac mini with Lion Server,Apple,20-Jul-11,1130
Desktop,21.5-inch iMac,Apple,27-Jul-10,1240
Desktop,27-inch iMac,Apple,27-Jul-10,1940
Desktop,Mac mini,Apple,15-Jun-10,270
Desktop,Mac mini with Snow Leopard Server,Apple,15-Jun-10,710
Desktop,21.5-inch iMac,Apple,18-Jun-14,600
Desktop,21.5-inch iMac,Apple,5-Jun-17,494
Desktop,21.5-inch iMac,Apple,5-Jun-17,494
Desktop,Mac Pro with 1TB,Apple,5-Jun-23,1572
Desktop,"Mac Studio + M2 Max, 512GB",Apple,5-Jun-23,290
Desktop,"Mac Studio with Apple M1 Max, 32GB memory, and 512GB",Apple,18-Mar-22,262
Desktop,Mac Pro,Apple,3-Mar-09,2110
Desktop,TV,Apple,7-Mar-12,60
Desktop,21.5-inch iMac,Apple,3-May-11,970
Desktop,27-inch iMac,Apple,3-May-11,1470
Desktop,"Mac mini (M1, 2020) with 256GB",Apple,10-Nov-20,172
Desktop,Mac mini,Apple,16-Oct-14,530
Desktop,Mac Pro,Apple,22-Oct-13,1000
Desktop,Mac Pro,Apple,22-Oct-13,940
Desktop,21.5-inch iMac,Apple,23-Oct-12,640
Desktop,27-inch iMac,Apple,23-Oct-12,1010
Desktop,Mac mini,Apple,23-Oct-12,290
Desktop,Mac mini with OS X Server,Apple,23-Oct-12,1020
Desktop,Mac mini,Apple,30-Oct-18,270
Desktop,iMac with two ports and 256GB,Apple,30-Oct-23,359
Desktop,TV,Apple,1-Sep-10,60
Desktop,21.5-inch iMac,Apple,24-Sep-13,610
Desktop,27-inch iMac,Apple,24-Sep-13,1000
Desktop,TV (4th generation),Apple,9-Sep-15,65
Desktop,TV HD,Apple,9-Sep-15,61
Desktop,27-inch iMac with Retina 5K display with 3,Apple,,1055.25
Smartphone,iPod nano,Apple,14-Jul-15,25
Smartphone,iPod shuffle,Apple Inc.,14-Jul-15,10
Smartphone,iPod touch (5th generation) 16GB,Apple,10-Jun-13,45
Smartphone,iPod shuffle,Apple,11-Mar-09,10
Smartphone,iPod touch (7th generation),Apple,28-May-19,32
Desktop,Apple TV 4K (3rd generation) with 64GB,Apple,18-Oct-22,43
Smartphone,iPod shuffle,Apple,1-Sep-10,9
Smartphone,iPod shuffle,Apple,12-Sep-12,10
IoT,Watch,Apple,24-Apr-15,50
IoT,HomePod (2nd generation),Apple,18-Jan-23,92
IoT,HomePod,Apple,26-Jan-18,146
IoT,HomePod mini,Apple,13-Oct-20,42
IoT,Watch Series 3 (GPS + Cellular),Apple,12-Sep-17,36
IoT,Watch Series 3 (GPS + Cellular),Apple,12-Sep-17,36
IoT,Watch Series 3 (GPS),Apple,12-Sep-17,28
IoT,Watch Series 3 (GPS),Apple,12-Sep-17,28
IoT,Watch Series 4 (GPS + Cellular),Apple,12-Sep-18,39
IoT,Watch Series 4 (GPS),Apple,12-Sep-18,38
IoT,Apple Watch SE GPS + Cellular 44mm paired with Sport Loop,Apple,12-Sep-23,2
IoT,Apple Watch Series 9 GPS + Cellular 45mm aluminum case paired with Sport Loop,Apple,12-Sep-23,1
IoT,Apple Watch Ultra 2 paired with Alpine Loop,Apple,12-Sep-23,1
IoT,stainless steel Apple Watch Series 9 GPS + Cellular 45mm paired with Sport Loop,Apple,12-Sep-23,29
IoT,Apple Watch Series 7 (GPS + Cellular) 45mm Aluminum Case with Sport Band,Apple,14-Sep-21,34
IoT,Apple Watch SE (GPS + Cellular) 44mm Aluminum Case with Sport Band,Apple,15-Sep-20,35
IoT,Apple Watch Series 6 (GPS + Cellular) 44mm Aluminum Case with Sport Band,Apple,15-Sep-20,36
IoT,Watch Series 1,Apple,7-Sep-16,20
IoT,Watch Series 2,Apple,7-Sep-16,30
IoT,Apple Watch Series 8 45mm Aluminum Case with Sport Band,Apple,7-Sep-22,33
IoT,Apple Watch Ultra (GPS + Cellular) Titanium Case with Ocean Band,Apple,7-Sep-22,56
IoT,Watch,Apple,9-Sep-15,50
IoT,"Sport Loop, Alpine Loop, and Trail Loop Apple Watch bands",Apple,,1
IoT,the Apple Watch Series 5 (GPS + Cellular) 44mm Aluminum Case with Sport Band 32GB memory,Apple,,40
Laptop,12-inch MacBook,Apple,19-Apr-16,430
Laptop,11-inch MacBook Air,Apple,29-Apr-14,430
Laptop,13-inch MacBook Air,Apple,29-Apr-14,480
Laptop,13-inch MacBook Pro with Retina Display,Apple,13-Feb-13,540
Laptop,15-inch MacBook Pro with Retina Display,Apple,13-Feb-13,710
Laptop,13-inch MacBook Pro,Apple,24-Feb-11,350
Laptop,15-inch MacBook Pro,Apple,24-Feb-11,460
Laptop,17-inch MacBook Pro,Apple,24-Feb-11,540
Laptop,14-inch MacBook Pro with 64GB,Apple,17-Jan-23,243
Laptop,16-inch MacBook Pro with 64GB,Apple,17-Jan-23,300
Laptop,13-inch MacBook Pro,Apple,12-Jul-18,229
