product_class,manufacturer,product_name,report_date,assembly_location,chip_CPU,chip_GPU,chip_SoC,number_of_cores_CPU,number_of_cores_GPU,number_of_cores_SoC,hard_drive_name,hard_drive_type,hard_drive_size_gb,memory_gb,battery_capacity_mah,display_size,display_type,display_max_brightness_nits,display_refresh_rate_hz,yearly_household_energy_consumption_kWh,lifetime_years,dimension_width_cm,dimension_height_cm,dimension_depth_cm,weight_kg,gwp_total_kg_co2e,GWP_manufacturing_phase,GWP_transport_phase,GWP_use_phase,GWP_end_of_life_phase,TEC of Model (kWh),Panel Type,Native Resolution (pixels),Screen Size (inches),Screen Area (square inches),On Mode Power (watts),Sleep Mode Power (watts),Climate+,EPEAT Score,EPEAT Tier,TCO Certified
Desktop,ASUS,Mini PC PB62,Oct. 2021,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,224,,,0.12,,29.1,,,,,,,FALSE,32 of 42,Gold,
Desktop,ASUS,ExpertCenter D9 Mini Tower (D900MDRES),September. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,528,0.609,0.001,0.389,0.001,51.1,,,,,,,TRUE,27 of 48,Silver,
Desktop,ASUS,ExpertCenter D9 SFF (D900SD),October. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,485,,,,0.001,37.5,,,,,,,TRUE,26 of 48,Silver,
Desktop,ASUS,ExpertCenter D9 Mini Tower (D900MD),October. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,517,0.542,0.001,0.456,0.001,51.1,,,,,,,TRUE,27 of 48,Silver,
Desktop,ASUS,ExpertCenter PN52,22-Oct,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,259,,,0.405,,47.3,,,,,,,FALSE,25 of 47,Silver,
Desktop,ASUS,Mini PC PN63-S1,22-Oct,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,226,0.405,0.01,,,30.2,,,,,,,FALSE,25 of 47,Silver,
Desktop,ASUS,ExpertCenter D5 SFF (D500SD),December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,532,,,,,53.1,,,,,,,FALSE,24 of 48,Silver,
Desktop,ASUS,ExpertCenter D7 SFF D700SC,December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,541,0.628,0.001,0.37,0.001,44.3,,,,,,,FALSE,26 of 48,Silver,
Desktop,ASUS,ExpertCenter D5 Mini Tower D500MD,December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,594,0.498,0.001,0.5,0.001,71,,,,,,,FALSE,24 of 48,Silver,
Desktop,ASUS,ExpertCenter D7 Mini Tower D700MD,December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,600,0.482,0.001,0.516,0.001,71.4,,,,,,,FALSE,24 of 48,Silver,
Desktop,ASUS,ExpertCenter PN53,December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,210,0.56,0.001,0.438,0.001,28.7,,,,,,,FALSE,27 of 47,Silver,
Desktop,ASUS,ExpertCenter D5 SFF (D500SC),December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,567,0.561,0.001,0.437,0.001,42.7,,,,,,,FALSE,25 of 48,Silver,
Desktop,ASUS,ExpertCenter D7 Mini Tower D700MC,December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,540,0.576,0.001,0.422,0.001,73.5,,,,,,,FALSE,24 of 48,Silver,
Desktop,ASUS,ExpertCenter D7 SFF D700SD,December. 2022,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,509,0.573,0.001,0.425,0.001,42.9,,,,,,,FALSE,24 of 48,Silver,
Desktop,ASUS,Mini PC PL64,February. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,225,0.453,0.001,,0.001,35.1,,,,,,,FALSE,24 of 44,Silver,
Desktop,ASUS,Mini PC PL63,February. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,198,0.546,0.001,,,28,,,,,,,FALSE,24 of 44,Silver,
Desktop,ASUS,ExpertCenter D8 SFF (D800SDR),August. 2023,Please contact Asus to obtain the raw data.,,,,,,,,,,,,,,,,,,,,,,419,0.686,,,0.002,39.9,,,,,,,FALSE,25 of 48,Silver,
